#Parameters = {box_sl=50; a=298.53994702961; a1=2.3276081854976; a2=1.1975375444041; angle=0.69813170079773; angle_deg=40; c=12.635135135135; coax_length=100; cone_base_rad=54.054052702703; cone_ht=398.58249931034; cone_scale=0.925; cone_slant_ht=562.5; cone_top_rad=361.56803044868; d=0; des_freq=148000000; gap_z=64.419111502723; h1=10000; h2=2500; innerdiameter=6.3378378385135; outerconductorthickness=2.027027027027; outerdiameter=21.216214864865; ref_angle=68; ref_angle_deg=90; ref_rad=562.5; ref_scale=0.9999; reflector_thick=2; sl=12505.569140635; sl2=2501.1138281271; t=0.002; tmax=4.1783182292744; tmin=-0.5; wl=2027.027027027; x1=0; x_len=480; y_len=460; z1=-12867.584; z_len=360; test=465.83783703181}
#"Frequency / MHz"	"S1,1 (ref_rad=562.5) [Magnitude]"
#----------------------------------------------------
55.000000000000	0.89345858504010
55.250000000000	0.89117973946966
55.500000000000	0.88888191901318
55.750000000000	0.88656546418622
56.000000000000	0.88423094991517
56.250000000000	0.88187861984347
56.500000000000	0.87950888209240
56.750000000000	0.87712202793515
57.000000000000	0.87471859804203
57.250000000000	0.87229892868463
57.500000000000	0.86986342291963
57.750000000000	0.86741227554351
58.000000000000	0.86494607994986
58.250000000000	0.86246517754359
58.500000000000	0.85996997645300
58.750000000000	0.85746080624944
59.000000000000	0.85493800080570
59.250000000000	0.85240210110653
59.500000000000	0.84985337804704
59.750000000000	0.84729218072007
60.000000000000	0.84471904816906
60.250000000000	0.84213423903466
60.500000000000	0.83953815137977
60.750000000000	0.83693117028727
61.000000000000	0.83431370384217
61.250000000000	0.83168606462873
61.500000000000	0.82904877830647
61.750000000000	0.82640204178202
62.000000000000	0.82374629729996
62.250000000000	0.82108203084442
62.500000000000	0.81840943867484
62.750000000000	0.81572897341245
63.000000000000	0.81304107298669
63.250000000000	0.81034587302707
63.500000000000	0.80764394588771
63.750000000000	0.80493567555202
64.000000000000	0.80222128541357
64.250000000000	0.79950113888950
64.500000000000	0.79677564111667
64.750000000000	0.79404515905190
65.000000000000	0.79131001049284
65.250000000000	0.78857060854200
65.500000000000	0.78582722681240
65.750000000000	0.78308012835385
66.000000000000	0.78032988445660
66.250000000000	0.77757664782087
66.500000000000	0.77482074730573
66.750000000000	0.77206257107193
67.000000000000	0.76930248309293
67.250000000000	0.76654072069585
67.500000000000	0.76377771184626
67.750000000000	0.76101365613231
68.000000000000	0.75824891771128
68.250000000000	0.75548379070658
68.500000000000	0.75271867458255
68.750000000000	0.74995375074065
69.000000000000	0.74718933670296
69.250000000000	0.74442582371212
69.500000000000	0.74166337573215
69.750000000000	0.73890242771254
70.000000000000	0.73614312472421
70.250000000000	0.73338587806850
70.500000000000	0.73063078050474
70.750000000000	0.72787835116076
71.000000000000	0.72512870081366
71.250000000000	0.72238217618033
71.500000000000	0.71963901459960
71.750000000000	0.71689939354128
72.000000000000	0.71416371079189
72.250000000000	0.71143216812213
72.500000000000	0.70870501061614
72.750000000000	0.70598241047891
73.000000000000	0.70326475368789
73.250000000000	0.70055220021531
73.500000000000	0.69784494495063
73.750000000000	0.69514331218931
74.000000000000	0.69244757170498
74.250000000000	0.68975777139940
74.500000000000	0.68707423098819
74.750000000000	0.68439717031460
75.000000000000	0.68172682357851
75.250000000000	0.67906340214752
75.500000000000	0.67640696476641
75.750000000000	0.67375789789990
76.000000000000	0.67111642002532
76.250000000000	0.66848253448651
76.500000000000	0.66585659631430
76.750000000000	0.66323868201076
77.000000000000	0.66062907228435
77.250000000000	0.65802796271189
77.500000000000	0.65543541867353
77.750000000000	0.65285168806316
78.000000000000	0.65027690921865
78.250000000000	0.64771126984676
78.500000000000	0.64515495523108
78.750000000000	0.64260814052078
79.000000000000	0.64007088086832
79.250000000000	0.63754334659830
79.500000000000	0.63502587409046
79.750000000000	0.63251844034262
80.000000000000	0.63002111216890
80.250000000000	0.62753420822527
80.500000000000	0.62505777560463
80.750000000000	0.62259194542379
81.000000000000	0.62013689146962
81.250000000000	0.61769280246809
81.500000000000	0.61525956665941
81.750000000000	0.61283755416358
82.000000000000	0.61042679901491
82.250000000000	0.60802733153288
82.500000000000	0.60563934874709
82.750000000000	0.60326298328007
83.000000000000	0.60089822639569
83.250000000000	0.59854533612384
83.500000000000	0.59620434794142
83.750000000000	0.59387536551837
84.000000000000	0.59155841351664
84.250000000000	0.58925359209972
84.500000000000	0.58696110927880
84.750000000000	0.58468092488298
85.000000000000	0.58241319720109
85.250000000000	0.58015799946152
85.500000000000	0.57791537874401
85.750000000000	0.57568537365805
86.000000000000	0.57346818681191
86.250000000000	0.57126379217472
86.500000000000	0.56907226761951
86.750000000000	0.56689362448628
87.000000000000	0.56472805881753
87.250000000000	0.56257560273012
87.500000000000	0.56043619219406
87.750000000000	0.55831005884781
88.000000000000	0.55619704372508
88.250000000000	0.55409736053813
88.500000000000	0.55201099710991
88.750000000000	0.54993808540893
89.000000000000	0.54787849470125
89.250000000000	0.54583245769711
89.500000000000	0.54379988788493
89.750000000000	0.54178088717236
90.000000000000	0.53977541176565
90.250000000000	0.53778361888032
90.500000000000	0.53580546632503
90.750000000000	0.53384093716340
91.000000000000	0.53189016554867
91.250000000000	0.52995308839621
91.500000000000	0.52802974842691
91.750000000000	0.52612010916170
92.000000000000	0.52422435223494
92.250000000000	0.52234238741594
92.500000000000	0.52047419797631
92.750000000000	0.51861983805999
93.000000000000	0.51677930333174
93.250000000000	0.51495265755033
93.500000000000	0.51313984095817
93.750000000000	0.51134086120813
94.000000000000	0.50955574137782
94.250000000000	0.50778447653859
94.500000000000	0.50602705526281
94.750000000000	0.50428350477807
95.000000000000	0.50255377332685
95.250000000000	0.50083791259637
95.500000000000	0.49913579807201
95.750000000000	0.49744759897609
96.000000000000	0.49577313394048
96.250000000000	0.49411246262652
96.500000000000	0.49246556634143
96.750000000000	0.49083237263593
97.000000000000	0.48921293019355
97.250000000000	0.48760721859114
97.500000000000	0.48601512134606
97.750000000000	0.48443671116601
98.000000000000	0.48287188758006
98.250000000000	0.48132068985062
98.500000000000	0.47978300096767
98.750000000000	0.47825882130892
99.000000000000	0.47674812652987
99.250000000000	0.47525089643779
99.500000000000	0.47376705371657
99.750000000000	0.47229655014622
100.00000000000	0.47083939747953
100.25000000000	0.46939544538941
100.50000000000	0.46796472584426
100.75000000000	0.46654718284600
101.00000000000	0.46514276208274
101.25000000000	0.46375137734066
101.50000000000	0.46237297470426
101.75000000000	0.46100756977835
102.00000000000	0.45965502298286
102.25000000000	0.45831525778317
102.50000000000	0.45698825898530
102.75000000000	0.45567399815733
103.00000000000	0.45437233797453
103.25000000000	0.45308321958042
103.50000000000	0.45180659403441
103.75000000000	0.45054239326976
104.00000000000	0.44929052585289
104.25000000000	0.44805089140954
104.50000000000	0.44682347125748
104.75000000000	0.44560814180653
105.00000000000	0.44440485740668
105.25000000000	0.44321351449755
105.50000000000	0.44203399551328
105.75000000000	0.44086621621732
106.00000000000	0.43971019757840
106.25000000000	0.43856570976323
106.50000000000	0.43743278829070
106.75000000000	0.43631124813303
107.00000000000	0.43520104273957
107.25000000000	0.43410205289169
107.50000000000	0.43301418671164
107.75000000000	0.43193737642786
108.00000000000	0.43087147467404
108.25000000000	0.42981642211483
108.50000000000	0.42877208196249
108.75000000000	0.42773840640530
109.00000000000	0.42671520582529
109.25000000000	0.42570249599949
109.50000000000	0.42470007407151
109.75000000000	0.42370786668783
110.00000000000	0.42272577422158
110.25000000000	0.42175367514209
110.50000000000	0.42079144333386
110.75000000000	0.41983901329440
111.00000000000	0.41889624558791
111.25000000000	0.41796305666068
111.50000000000	0.41703926951715
111.75000000000	0.41612486915217
112.00000000000	0.41521967688743
112.25000000000	0.41432357673537
112.50000000000	0.41343648978738
112.75000000000	0.41255826317684
113.00000000000	0.41168883272828
113.25000000000	0.41082805433000
113.50000000000	0.40997577752434
113.75000000000	0.40913197224037
114.00000000000	0.40829649095259
114.25000000000	0.40746918228510
114.50000000000	0.40664996259925
114.75000000000	0.40583875014452
115.00000000000	0.40503535966434
115.25000000000	0.40423971358095
