,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
103,42.0809,13.0758,104.7,15.84893192,0.895,
104,41.5513,14.1757,100.3,251.1886432,0.895,
105,42.0219,13.234,93.7,1995.262315,0.895,
106,42.4004,13.4904,90.3,794.3282347,0.895,
107,42.513,13.5343,97.6,1000.0,0.895,
108,42.0928,14.0737,100.3,12589.25412,0.895,
109,42.2608,14.1407,100.8,15848.93192,0.895,
110,42.2029,13.2232,101.5,10000.0,0.895,
111,42.0354,13.5204,101.2,5011.872336,0.895,
112,42.4649,13.3509,98.5,12589.25412,0.895,
113,42.4017,13.4944,98.0,6309.573445,0.895,
114,42.373,14.022,101.7,6309.573445,0.895,
115,42.0222,14.2323,98.5,1.0,0.895,
116,42.2558,14.14,97.3,1.0,0.895,
117,42.414,13.3716,106.0,1.0,0.895,
118,42.414,13.3719,107.8,31622.7766,0.895,
119,42.5242,13.524,99.8,2511.886432,0.895,
120,42.5313,13.5333,95.6,5011.872336,0.895,
121,42.0928,14.0739,97.5,15848.93192,0.895,
122,42.0222,14.2321,93.9,7943.282347,0.895,
123,42.0214,13.2339,102.5,5011.872336,0.895,
124,41.5323,13.2419,100.2,158.4893192,0.895,
125,42.2025,13.2227,98.3,1.0,0.895,
126,42.0523,14.413,96.1,1.0,0.895,
127,42.0457,13.4759,101.7,1.0,0.895,
128,42.0321,13.4331,94.4,1.0,0.895,
129,42.2113,14.1022,99.1,1.0,0.895,
130,42.5314,13.5332,90.2,1000.0,0.895,
131,41.4716,14.0654,92.4,1.0,0.895,
132,42.4041,13.5855,95.8,1.0,0.895,
133,42.1834,13.5111,91.6,15848.93192,0.895,
134,42.3357,13.4112,105.8,1.0,0.895,
135,42.1646,13.5847,93.5,3162.27766,0.895,
136,41.5552,13.5221,105.3,1.0,0.895,
137,42.0942,14.0757,99.5,3981.071706,0.895,
138,41.4424,13.5933,105.9,1.0,0.895,
139,41.5028,14.0558,92.2,1.0,0.895,
140,42.2502,14.17,93.5,6309.573445,0.895,
141,42.0933,14.0739,88.6,1.0,0.895,
142,42.2558,14.1434,96.1,1.0,0.895,
143,42.3729,14.022,97.4,1.0,0.895,
144,42.2842,14.0808,95.0,1.0,0.895,
145,42.053,14.4132,97.9,1.0,0.895,
146,42.0639,14.4232,90.0,1.0,0.895,
147,42.4005,13.4904,90.1,1.0,0.895,
148,42.414,13.3717,88.4,1.0,0.895,
149,42.3852,13.4208,97.5,1.0,0.895,
150,42.4715,13.4745,92.3,1.0,0.895,
151,42.5315,13.5333,92.1,1.0,0.895,
152,42.5139,13.5342,88.4,1.0,0.895,
153,42.46,13.564,92.1,1.0,0.895,
154,42.3348,14.0528,99.3,1.0,0.895,
155,42.4615,13.3538,99.3,1.0,0.895,
156,42.2025,13.2227,101.0,1.0,0.895,
157,42.133,13.5036,104.8,1.0,0.895,
158,42.0356,13.5204,107.5,1.0,0.895,
159,42.204,14.0947,103.8,3981.071706,0.895,
160,42.0222,14.232,105.85,15848.93192,0.895,
161,42.1044,14.0647,103.7,6309.573445,0.895,
162,42.071,14.1409,90.7,3162.27766,0.895,
163,42.0841,13.2959,102.2,0.158489319,0.895,
164,42.0256,13.0243,92.6,794.3282347,0.895,
165,42.0456,13.4756,99.0,1.0,0.895,
166,41.5027,14.0558,91.0,1.0,0.895,
167,42.0212,13.2342,101.0,1.0,0.895,
168,41.483,14.2913,95.3,1.0,0.895,
169,42.454,13.5645,100.2,3162.27766,0.895,
170,42.4038,13.4903,90.7,1000.0,0.895,
171,42.25,14.171,90.1,1.0,0.895,
172,42.3938,13.4143,95.1,1.0,0.895,
173,41.4733,14.0612,101.2,1.0,0.895,
174,41.5729,14.0945,88.6,1.0,0.895,
175,41.5549,13.5221,93.9,1.0,0.895,
176,41.4833,14.2913,94.2,1.0,0.895,
177,42.014,14.1418,97.9,1.0,0.895,
178,42.293,13.3905,88.4,1.0,0.895,
179,41.5317,13.2422,91.3,1.0,0.895,
180,42.0321,13.4331,107.5,1.0,0.895,
181,41.4839,13.4445,88.0,1.0,0.895,
182,41.4433,13.5938,101.2,1.0,0.895,
183,42.0223,13.0533,91.6,1.0,0.895,
184,42.2449,14.1209,97.8,1.0,0.895,
185,42.1908,13.1503,88.9,1.0,0.895,
186,42.1405,13.2913,91.3,1.0,0.895,
187,42.0928,14.0738,88.9,1.0,0.895,
188,42.3213,14.071,87.75,1.0,0.895,
189,42.0814,13.2843,91.3,1.0,0.895,
190,42.3635,13.3531,89.4,10000.0,0.895,
191,42.3729,14.022,93.3,10000.0,0.895,
192,42.1945,13.4622,99.0,1.0,0.895,
193,42.0928,14.074,89.7,1.0,0.895,
194,42.0222,14.2321,95.5,1.0,0.895,
195,42.2558,14.1434,104.8,1.0,0.895,
196,42.0355,13.5204,106.5,1.0,0.895,
197,42.0456,13.4756,89.7,1.0,0.895,
198,42.1334,13.5035,89.5,1.0,0.895,
199,42.2025,13.2227,106.3,1.0,0.895,
200,42.0212,13.2342,91.3,1.0,0.895,
201,42.3843,13.42,100.0,1.0,0.895,
202,42.3546,14.03,103.9,1.0,0.895,
203,42.2558,14.1,92.4,1.0,0.895,
204,42.0222,14.2321,97.7,1.0,0.895,
205,42.2558,14.14,92.8,1.0,0.895,
206,42.2605,14.1409,89.5,1.0,0.895,
207,42.0233,13.0533,97.4,158.4893192,0.895,
208,42.3843,13.42,91.6,1.0,0.895,
209,42.0457,13.4759,102.3,1.0,0.895,
210,42.2605,14.1409,97.6,1.0,0.895,
211,42.0222,14.2323,92.6,1.0,0.895,
212,42.0523,14.4133,99.1,1.0,0.895,
213,42.053,14.4133,100.5,1.0,0.895,
214,42.1335,13.5036,92.6,1.0,0.895,
215,42.0212,13.2342,100.0,1.0,0.895,
216,42.0928,14.0738,93.0,1.0,0.895,
217,42.2025,13.2227,92.8,1.0,0.895,
218,42.3823,13.4134,93.0,1.0,0.895,
219,42.414,13.3717,102.0,2511.886432,0.895,
220,42.075,13.31,100.0,1.0,0.895,
221,42.5002,13.4222,101.3,1584.893192,0.895,
222,41.5258,13.2808,98.4,50.11872336,0.895,
223,42.0841,13.2959,105.5,0.316227766,0.895,
224,41.4833,14.2913,88.0,1.0,0.895,
225,41.4838,13.4449,92.0,1.0,0.895,
226,41.532,13.242,100.0,1.0,0.895,
227,41.5549,13.5221,92.6,1.0,0.895,
228,41.573,14.0936,106.4,1.0,0.895,
229,41.5025,14.0558,106.2,1.0,0.895,
230,41.4433,13.5938,92.4,1.0,0.895,
