,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
115,52.0102642,5.4332757,,302.0,0.941,
116,52.9054328,6.3968885,91.8,93300.0,0.941,
117,51.9244424,4.47775,91.8,3980.0,0.941,
118,51.64113575,5.048667556,91.9,2000.0,0.941,
119,51.39244885,6.151172414,91.9,1150.0,0.941,
120,52.07494555,4.269680221,,144.0,0.941,
121,52.2241375,5.1719396,,398.0,0.941,
122,52.4574236,4.6111981,92.0,200.0,0.941,
123,52.0056642,5.876234508,92.1,62.0,0.941,
124,50.8738401,5.8456982,92.1,10000.0,0.941,
125,51.8782056,4.8281412,92.1,200.0,0.941,
126,51.5331484,4.4561276,92.1,66.0,0.941,
127,51.98934,4.5016775,,82.0,0.941,
128,53.0778724,5.7927534,92.2,25100.0,0.941,
129,52.3730796,4.8924534,92.3,33.0,0.941,
130,52.75286615,6.952513466,92.3,398.0,0.941,
131,51.4437624,5.6187496,92.3,71.0,0.941,
132,52.3080276,6.5213004,92.3,1000.0,0.941,
133,53.1638192,6.7556852,92.4,3980.0,0.941,
134,52.510347,6.452424671,92.4,2240.0,0.941,
135,51.2302243,3.823928,92.4,7940.0,0.941,
136,52.9054328,6.3968885,92.5,891.0,0.941,
137,51.3287995,5.9819406,92.5,100.0,0.941,
138,53.0194021,6.7354541,92.6,398.0,0.941,
139,52.0246381,5.0458792,92.6,72400.0,0.941,
140,53.2607348,6.5918683,92.7,158.0,0.941,
141,52.9984742,5.923148795,92.8,501.0,0.941,
142,52.0056642,5.876234508,92.9,62.0,0.941,
143,52.07494555,4.269680221,92.9,42.0,0.941,
144,53.2190652,6.5680077,92.9,263.0,0.941,
145,51.3484037,5.5518897,92.9,500.0,0.941,
146,51.9244424,4.47775,92.9,79.0,0.941,
147,51.5354124,6.1388583,92.9,1000.0,0.941,
148,52.850955,5.0226161,92.9,16600.0,0.941,
149,52.9952273,6.560498,93.0,6760.0,0.941,
150,52.71174435,6.197307325,93.0,1000.0,0.941,
151,51.2302243,3.823928,93.0,12600.0,0.941,
152,53.143001,7.0380717,93.0,140.0,0.941,
153,52.2695736,6.236339605,93.1,1170.0,0.941,
154,52.75286615,6.952513466,93.1,1000.0,0.941,
155,52.510347,6.452424671,93.1,1590.0,0.941,
