,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,18.46666666666667,-70.65,88.1,56.30481308669277
1,18.700000000000003,-68.46666666666667,88.1,3116.9867118784637
2,18.311111111111117,-70.33333333333334,88.1,1.0
3,18.76666666666667,-69.25000000000001,88.1,11808.81297682469
4,18.66055555555555,-68.67611111111113,88.1,1.0
5,18.451111111111107,-69.00805555555554,88.1,19764.930756065965
6,19.49444444444444,-70.4888888888889,88.1,1.0
7,18.167500000000004,-71.28083333333332,88.1,875.7079005430263
8,19.383333333333333,-69.87777777777777,88.1,153.15593305685962
9,18.050000000000004,-71.74444444444444,88.1,370.06336379400295
10,18.57777777777778,-70.5111111111111,88.1,1.0
11,18.76055555555556,-71.07611111111112,88.1,1839.7518773550064
12,18.49444444444444,-69.30000000000001,88.1,1.0
13,19.23333333333333,-69.30000000000001,88.1,70.76599458224429
14,18.22777777777777,-71.1,88.1,1.0
15,18.76666666666667,-69.01666666666668,88.1,247.88682299187224
16,19.46666666666667,-70.7,88.1,193.2073789790759
17,18.46666666666667,-69.90000000000002,88.1,192.9670554389071
18,18.416666666666668,-70.09444444444443,88.3,1.0
19,19.23333333333333,-69.30000000000001,88.5,367.374820891584
20,18.561111111111103,-69.98333333333335,88.7,1.0
21,19.23333333333333,-70.5111111111111,89.1,123.814451681231
22,18.46666666666667,-69.93333333333334,89.5,1.0
23,19.49444444444444,-70.4888888888889,89.9,1.0
24,18.64444444444444,-68.69444444444444,90.3,850.3706485123683
25,19.46666666666667,-70.7,90.5,1897.9870302016855
26,18.66055555555555,-68.67611111111113,90.7,1.0
27,19.79444444444444,-70.7,90.9,2473.9522816180656
28,18.479166666666668,-69.92861111111111,91.1,1.0
29,19.561111111111103,-71.69444444444444,91.7,2835.4700764681907
30,19.79444444444444,-70.7,91.7,24.547059617025575
31,19.31666666666667,-70.23333333333333,91.7,1.0
32,19.46666666666667,-70.7,91.7,816.6837366054465
33,18.416666666666668,-70.09444444444443,91.9,85.69936430185787
34,18.95,-70.4111111111111,91.9,940.4210450633813
35,18.877777777777776,-71.7,91.9,6302.949957145699
36,18.451111111111107,-69.00805555555554,91.9,2669.1848013742974
37,19.416666666666668,-70.5111111111111,91.9,1.0
38,18.57777777777778,-70.5111111111111,91.9,47667.792387280024
39,19.23333333333333,-69.30000000000001,91.9,1.0
40,19.611111111111107,-70.93333333333334,92.1,79201.6443764821
41,19.49444444444444,-70.4888888888889,92.1,1.0
42,18.46666666666667,-69.93333333333334,92.1,800.9592720302813
43,19.23333333333333,-70.5111111111111,92.3,1.0
44,18.46666666666667,-71.83333333333333,92.3,8404.425391489707
45,18.64444444444444,-68.69444444444444,92.3,1.0
46,18.22777777777777,-71.1,92.3,1.0
47,19.050000000000004,-70.15000000000002,92.5,1.0
48,19.26111111111111,-69.6111111111111,92.5,385.2909630969461
49,19.79444444444444,-70.7,92.5,1.0
50,19.23333333333333,-70.5111111111111,92.7,1.0
51,18.46666666666667,-69.93333333333334,92.7,19769.882136651653
52,18.66055555555555,-68.67611111111113,92.9,898.738110288958
53,19.79444444444444,-70.7,92.9,4822.0540175399055
54,18.76055555555556,-71.07611111111112,92.9,1479.415783398391
55,18.22777777777777,-71.1,92.9,1.0
56,19.46666666666667,-70.7,92.9,4953.759843861225
57,18.46666666666667,-69.90000000000002,92.9,32078.875323119013
58,19.46666666666667,-70.7,93.1,1.0
59,18.46666666666667,-69.93333333333334,93.3,1.0
60,19.31666666666667,-70.23333333333333,93.5,88.7859989158712
61,18.76055555555556,-71.07611111111112,93.5,841.6344643309608
62,18.46666666666667,-69.93333333333334,93.5,49813.34015134529
63,19.57777777777778,-70.88333333333334,93.7,4149.881689985972
64,18.76666666666667,-69.01666666666668,93.7,131032.50228570473
65,18.416666666666668,-71.19444444444444,93.7,1.0
66,18.95,-70.4111111111111,93.9,869.523304927563
67,18.416666666666668,-70.09444444444443,94.1,1.0
68,19.583333333333336,-70.98333333333335,94.1,810.9631898573203
69,19.46666666666667,-70.7,94.1,118.12835443516191
70,19.49444444444444,-70.4888888888889,94.3,1.0
71,18.64444444444444,-68.69444444444444,94.3,1.0
72,18.46666666666667,-69.93333333333334,94.5,499.67603166535
73,18.451111111111107,-69.00805555555554,94.7,32757.674660256813
74,18.451111111111107,-69.00805555555554,94.7,241.40320317896877
75,19.31666666666667,-70.23333333333333,94.7,893.0078547761011
76,18.49444444444444,-69.30000000000001,94.7,9807.166420469439
77,18.22777777777777,-71.1,94.7,186.73584641870724
78,18.76666666666667,-69.01666666666668,94.7,181.80882939760355
79,18.48527777777778,-69.87333333333333,94.7,33882.91000188974
80,19.561111111111103,-71.69444444444444,94.9,1.0
81,18.76055555555556,-71.07611111111112,94.9,89.28544399728624
82,18.451111111111107,-69.00805555555554,95.1,36.34497598896103
83,18.167500000000004,-71.28083333333332,95.1,75.03287395388905
84,19.46666666666667,-70.7,95.1,52999.72414176609
85,18.46666666666667,-69.93333333333334,95.1,123.19422320678252
86,19.79444444444444,-70.7,95.3,1.0
87,18.46666666666667,-69.93333333333334,95.3,49798.14698339868
88,18.76666666666667,-69.25000000000001,95.5,1.0
89,19.31666666666667,-69.54444444444442,95.5,1.0
90,18.49444444444444,-69.30000000000001,95.5,1.0
91,19.46666666666667,-70.7,95.5,148.95712999974685
92,19.850000000000005,-71.64444444444443,95.7,1.0
93,19.46666666666667,-70.7,95.7,1.0
94,18.46666666666667,-69.93333333333334,95.7,3739.6748670426196
95,19.383333333333333,-70.36111111111109,95.7,1.0
96,18.46666666666667,-69.93333333333334,96.1,147436.95624871968
97,18.46666666666667,-70.65,96.3,11702.417771675866
98,18.700000000000003,-68.46666666666667,96.3,8774.15531840674
99,18.311111111111117,-70.33333333333334,96.3,8305.154853599233
100,18.95,-70.4111111111111,96.3,260.4167708975726
