Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI
19.043621,74.742676,90.8,19043,0.633
19.877262,75.33903,90.8,19877,0.633
18.219854,74.45341,90.8,18219,0.633
20.562845,76.4087,90.8,20562,0.633
21.149813,79.082054,90.8,21149,0.633
21.366,74.284004,90.8,21365,0.633
20.011248,73.79024,90.8,20011,0.633
18.2187,76.12277,90.8,18218,0.633
19.24471,76.776085,90.8,19244,0.633
18.521427,73.854454,90.8,18521,0.633
18.521427,73.854454,90.8,18521,0.633
16.850254,74.59489,90.8,16850,0.633
19.19433,72.97018,90.8,19194,0.633
17.669973,75.90081,90.8,17669,0.633
17.669973,75.90081,90.8,17669,0.633
20.090717,77.18085,90.8,20090,0.633
20.735706,78.556496,90.8,20735,0.633
25.911743,93.7217,90.8,25911,0.633
21.500288,86.920265,90.8,21500,0.633
19.75,83.0,90.8,19750,0.633
25.108664,79.54343,90.8,25108,0.633
20.7691,82.51863,90.8,20769,0.633
19.807608,85.82526,90.8,19807,0.633
21.470642,83.98369,90.8,21470,0.633
31.332376,75.57689,90.8,31332,0.633
30.909016,75.8516,90.8,30909,0.633
30.983334,76.51667,90.8,30983,0.633
29.583332,75.083336,90.8,29583,0.633
27.5,76.5,90.8,27500,0.633
27.5,76.5,90.8,27500,0.633
23.550076,74.4463,90.8,23550,0.633
20.587927,77.108086,90.8,20587,0.633
28.203941,76.83744,90.8,28203,0.633
26.915457,75.818985,90.8,26915,0.633
25.3476,72.62609,90.8,25347,0.633
27.583332,75.166664,90.8,27583,0.633
26.164701,75.5766,90.8,26164,0.633
11.001811,76.962845,90.8,11001,0.633
10.0728445,78.77952,90.8,10072,0.633
12.509255,80.157234,90.8,12509,0.633
12.964716,79.98397,90.8,12964,0.633
10.805628,79.82466,90.8,10805,0.633
11.2842245,78.16615,90.8,11284,0.633
11.2842245,78.16615,90.8,11284,0.633
10.804973,78.68703,90.8,10804,0.633
12.794811,79.00064,90.8,12794,0.633
17.360588,78.47406,90.8,17360,0.633
18.04588,78.2652,90.8,18045,0.633
30.325565,78.04368,90.8,30325,0.633
29.028404,79.48321,90.8,29028,0.633
30.2845,78.97993,90.8,30284,0.633
27.175255,78.00982,90.8,27175,0.633
28.967571,78.5397,90.8,28967,0.633
25.990376,83.191154,90.8,25990,0.633
28.467073,77.51376,90.8,28467,0.633
26.77924,83.41368,90.8,26779,0.633
26.8381,80.9346,90.8,26838,0.633
29.354998,77.82811,90.8,29354,0.633
27.037756,88.263176,90.8,27037,0.633
22.572645,88.36389,90.8,22572,0.633
22.4363,87.3192,90.8,22436,0.633
23.021624,72.579704,91.1,23021,0.633
19.043621,74.742676,91.1,19043,0.633
20.716906,77.10462,91.1,20716,0.633
12.976793,77.59008,91.1,12976,0.633
28.015928,73.31714,91.1,28015,0.633
13.0836935,80.27019,91.1,13083,0.633
11.001811,76.962845,91.1,11001,0.633
17.360588,78.47406,91.1,17360,0.633
26.915457,75.818985,91.1,26915,0.633
21.013762,75.562706,91.1,21013,0.633
22.80152,86.20296,91.1,22801,0.633
25.173702,75.85742,91.1,25173,0.633
26.8381,80.9346,91.1,26838,0.633
18.973354,72.8281,91.1,18973,0.633
19.172573,77.29141,91.1,19172,0.633
21.149813,79.082054,91.1,21149,0.633
28.613895,77.20901,91.1,28613,0.633
30.329561,76.41278,91.1,30329,0.633
25.609324,85.12353,91.1,25609,0.633
18.521427,73.854454,91.1,18521,0.633
16.850254,74.59489,91.1,16850,0.633
17.669973,75.90081,91.1,17669,0.633
21.17,72.82,91.1,21170,0.633
22.297314,73.19426,91.1,22297,0.633
17.723127,83.301285,91.1,17723,0.633
22.5,83.5,91.1,22500,0.633
