,Unnamed: 0,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
520,520,57.7210839,12.9407407,102.9,17000,0.947,
521,521,58.3896329,13.8456344,100.3,60000,0.947,
522,522,58.916667,11.25,97.6,300,0.947,
523,523,59.0964963,11.2624025,100.8,300,0.947,
524,524,58.3608171,11.2511421,100.9,300,0.947,
525,525,58.6920072,11.2542334,101.1,300,0.947,
526,526,58.5597964,11.2638099,101.7,300,0.947,
527,527,58.8061271,12.1599693,102.2,60000,0.947,
528,528,58.3490555,11.9382855,103.3,8000,0.947,
529,529,58.2827931,12.2908612,103.7,3000,0.947,
530,530,57.483333,13.1,88.1,500,0.947,
531,531,58.3608171,11.2511421,88.8,75,0.947,
532,532,57.8,13.383333,89.1,500,0.947,
533,533,58.583333,12.0,90.8,150,0.947,
534,534,58.083333,11.916667,91.0,100,0.947,
535,535,57.5080076,12.6970568,91.8,500,0.947,
536,536,58.3965726,11.4196339,92.2,20,0.947,
537,537,57.7210839,12.9407407,93.9,2000,0.947,
538,538,58.3490555,11.9382855,98.7,250,0.947,
539,539,58.7,13.833333,99.4,100,0.947,
540,540,58.0340071,12.7769271,100.6,250,0.947,
541,541,59.032659,12.219105,101.0,500,0.947,
542,542,58.916667,11.25,101.4,200,0.947,
543,543,57.9,11.916667,103.6,200,0.947,
544,544,58.5037196,13.1576427,104.7,20,0.947,
545,545,58.3896329,13.8456344,104.9,1000,0.947,
546,546,58.2610628,12.9521468,106.0,100,0.947,
547,547,58.2827931,12.2908612,106.2,1000,0.947,
548,548,58.5987546,11.2827802,106.4,20,0.947,
549,549,58.716667,12.466667,107.2,250,0.947,
550,550,57.7072326,11.9670171,107.8,3200,0.947,
551,551,59.3291667,14.5176911,97.0,20,0.947,
552,552,59.266667,14.433333,103.8,1500,0.947,
553,553,59.833333,14.566667,89.0,30,0.947,
554,554,59.1179611,15.12055664,94.3,200,0.947,
555,555,59.1734088,14.8709494,100.7,100,0.947,
556,556,59.916667,15.0,98.3,100,0.947,
557,557,58.9835745,14.7792473,89.8,3000,0.947,
558,558,59.2747287,15.2151181,102.8,60000,0.947,
559,559,59.3291667,14.5176911,93.7,400,0.947,
560,560,58.9835745,14.7792473,94.6,1000,0.947,
561,561,59.666667,15.25,97.4,1125,0.947,
562,562,59.2747287,15.2151181,107.8,1000,0.947,
563,563,59.2747287,15.2151181,95.3,100,0.947,
564,564,58.4098135,15.6245252,95.5,490,0.947,
565,565,58.5909124,16.1903511,89.0,300,0.947,
566,566,58.2,16.6,97.9,500,0.947,
567,567,57.9875021,15.622841,89.1,500,0.947,
568,568,58.5420395,15.041261,90.2,3000,0.947,
569,569,58.166667,16.0,90.9,250,0.947,
570,570,58.316667,15.133333,100.7,250,0.947,
571,571,58.5909124,16.1903511,100.9,5000,0.947,
572,572,58.4098135,15.6245252,103.2,5000,0.947,
573,573,58.183333,14.683333,103.4,50,0.947,
574,574,58.2733429,16.5015962,107.1,300,0.947,
575,575,58.5909124,16.1903511,94.8,60000,0.947,
576,576,58.4098135,15.6245252,99.8,500,0.947,
577,577,58.5420395,15.041261,101.2,20000,0.947,
578,578,57.9875021,15.622841,103.6,30000,0.947,
579,579,58.2,16.6,103.9,300,0.947,
580,580,58.316667,15.133333,88.3,600,0.947,
581,581,58.2,16.6,89.3,800,0.947,
582,582,58.166667,16.0,97.7,575,0.947,
583,583,58.8,15.833333,100.0,100,0.947,
584,584,58.4098135,15.6245252,101.7,5000,0.947,
585,585,58.5420395,15.041261,102.6,500,0.947,
586,586,58.6502647,16.029186,104.0,10,0.947,
587,587,58.183333,14.683333,104.7,1000,0.947,
588,588,58.5909124,16.1903511,107.4,2500,0.947,
589,589,58.4098135,15.6245252,103.8,500,0.947,
590,590,58.5909124,16.1903511,105.5,1000,0.947,
