,Unnamed: 0,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
117,117,62.7946584,16.2080793,103.5,100,0.947,
118,118,62.8529574,12.7912236,103.6,30,0.947,
119,119,64.25,15.366667,104.9,500,0.947,
120,120,62.5461507,12.5418262,105.3,200,0.947,
121,121,63.1793655,14.6357061,105.3,3000,0.947,
122,122,63.416667,13.083333,105.7,200,0.947,
123,123,62.4451674,13.8628202,106.6,1000,0.947,
124,124,58.05,14.833333,97.8,500,0.947,
125,125,57.95,13.8,95.6,300,0.947,
126,126,57.633333,14.683333,103.9,500,0.947,
127,127,57.7825634,14.165719,98.5,300,0.947,
128,128,57.2005598,14.083181,89.1,50,0.947,
129,129,58.05,14.833333,95.9,300,0.947,
130,130,57.9160149,14.0527108,96.6,200,0.947,
131,131,57.7825634,14.165719,100.8,5000,0.947,
132,132,57.633333,14.683333,102.1,60000,0.947,
133,133,57.1179607,14.0526591,103.4,30000,0.947,
134,134,57.9160149,14.0527108,96.1,500,0.947,
135,135,57.833333,14.75,96.3,500,0.947,
136,136,57.2005598,14.083181,100.6,500,0.947,
137,137,57.4289474,14.091985,101.3,500,0.947,
138,138,57.36554305,15.16783051,104.1,100,0.947,
139,139,58.05,14.833333,104.5,200,0.947,
140,140,57.1179607,14.0526591,105.6,350,0.947,
141,141,57.633333,14.683333,105.6,200,0.947,
142,142,57.7825634,14.165719,107.0,2100,0.947,
143,143,57.2005598,14.083181,98.1,500,0.947,
144,144,56.6517105,16.4721747,90.7,200,0.947,
145,145,56.6628826,16.3662382,98.6,250,0.947,
146,146,56.7444911,15.9075145,98.1,250,0.947,
147,147,57.799722,16.383056,93.2,500,0.947,
148,148,57.2632811,16.4443478,97.8,500,0.947,
149,149,56.6517105,16.4721747,99.2,500,0.947,
150,150,56.883056,16.666667,104.7,500,0.947,
151,151,56.6302659,15.5366179,104.9,500,0.947,
152,152,57.4,15.8,105.2,500,0.947,
153,153,56.7444911,15.9075145,106.7,200,0.947,
154,154,57.5503763,15.7212625,91.2,100,0.947,
155,155,57.3168544,15.5868533,93.6,500,0.947,
156,156,57.2632811,16.4443478,94.4,250,0.947,
157,157,56.6302659,15.5366179,95.6,60000,0.947,
158,158,57.799722,16.383056,102.7,60000,0.947,
159,159,57.2482639,17.0556837,105.0,250,0.947,
160,160,57.066667,16.416667,106.8,300,0.947,
161,161,56.6517105,16.4721747,107.8,1000,0.947,
162,162,56.7444911,15.9075145,91.4,100,0.947,
163,163,57.8998238,16.4082564,95.4,250,0.947,
164,164,57.1664483,16.0321284,97.4,2000,0.947,
165,165,57.4,15.8,98.4,1000,0.947,
166,166,56.6517105,16.4721747,101.3,2000,0.947,
167,167,57.4640403,16.5486411,104.2,500,0.947,
168,168,57.799722,16.383056,104.6,500,0.947,
169,169,56.6302659,15.5366179,106.1,500,0.947,
170,170,57.2632811,16.4443478,106.3,500,0.947,
171,171,56.916667,14.5,96.4,1000,0.947,
172,172,56.8787183,14.8094385,102.4,200,0.947,
173,173,56.85,13.933333,95.8,447,0.947,
174,174,56.55,13.6,99.5,3000,0.947,
175,175,56.8787183,14.8094385,100.2,500,0.947,
176,176,56.7872261,14.4515835,101.0,20000,0.947,
177,177,56.6302659,15.5366179,101.8,60000,0.947,
178,178,56.55,13.6,88.3,30,0.947,
179,179,56.5791691,13.7525372,89.3,250,0.947,
180,180,57.0597928,15.0483561,89.9,500,0.947,
181,181,56.55,14.116667,96.1,250,0.947,
182,182,56.916667,14.5,98.7,100,0.947,
183,183,56.85,13.933333,101.6,150,0.947,
184,184,56.8787183,14.8094385,107.5,1000,0.947,
185,185,65.3134652,21.4900252,92.8,500,0.947,
186,186,65.833333,21.666667,98.2,300,0.947,
187,187,67.3,20.25,97.7,500,0.947,
188,188,68.3816797,22.8260798,91.9,200,0.947,
189,189,68.166667,19.5,93.7,1995,0.947,
190,190,64.6562097,17.8146163,98.4,20,0.947,
191,191,67.6782861,21.6501879,104.1,20,0.947,
192,192,65.5831187,22.1459535,89.3,300,0.947,
193,193,65.5831187,22.1459535,96.9,300,0.947,
194,194,66.9600806,19.8222319,100.1,15,0.947,
195,195,67.25,23.0,100.2,60000,0.947,
196,196,66.3834151,16.9654746,100.2,30,0.947,
197,197,68.6759323,21.5212831,100.4,500,0.947,
198,198,66.4295605,20.6024171,100.4,30,0.947,
