,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
128,42.729916,-114.4192,88.1,60000,0.921,
129,43.620693,-117.21069,88.1,63639,0.921,
130,42.91678,-112.43097,88.1,14142,0.921,
131,43.799362,-111.77636,88.1,240,0.921,
132,40.477222,-88.55389,88.1,2121,0.921,
133,40.49114,-88.99367,88.1,169,0.921,
134,42.10586,-88.377304,88.1,2000,0.921,
135,39.47725,-88.140305,88.1,2969,0.921,
136,41.872807,-87.647804,88.1,134,0.921,
137,41.421417,-87.64422,88.1,127,0.921,
138,39.80975,-88.99203,88.1,1414,0.921,
139,41.47975,-90.269,88.1,3000,0.921,
140,40.782276,-87.93043,88.1,480,0.921,
141,37.7175,-88.54361,88.1,6788,0.921,
142,39.72172,-90.195946,88.1,38,0.921,
143,41.812527,-87.88089,88.1,254,0.921,
144,41.602806,-88.08033,88.1,197,0.921,
145,38.697277,-88.03697,88.1,4101,0.921,
146,40.001446,-89.69705,88.1,8485,0.921,
147,41.95558,-87.86728,88.1,424,0.921,
148,41.29225,-89.13314,88.1,4000,0.921,
149,41.869194,-88.098946,88.1,353,0.921,
150,41.3225,-88.10944,88.1,494,0.921,
151,42.09414,-87.719025,88.1,66,0.921,
152,41.613667,-86.18889,88.1,16263,0.921,
153,38.763916,-86.520805,88.1,1000,0.921,
154,39.70614,-85.49464,88.1,8909,0.921,
155,39.706085,-85.49467,88.1,8909,0.921,
156,38.298943,-85.81245,88.1,4030,0.921,
157,39.06839,-85.26608,88.1,500,0.921,
158,38.683945,-87.435585,88.1,18,0.921,
159,40.15003,-86.90389,88.1,24041,0.921,
160,39.351112,-101.054054,88.1,2828,0.921,
161,37.779694,-100.06106,88.1,1414,0.921,
162,37.804474,-96.88419,88.1,565,0.921,
163,38.001083,-101.00156,88.1,1414,0.921,
164,38.362778,-98.76425,88.1,900,0.921,
165,38.958057,-99.35222,88.1,3535,0.921,
166,38.054443,-97.930885,88.1,806,0.921,
167,38.07389,-97.34336,88.1,212,0.921,
168,39.039165,-95.449974,88.1,106066,0.921,
169,37.546722,-101.30389,88.1,707,0.921,
170,36.960335,-86.54694,88.1,1414,0.921,
171,36.810028,-88.35919,88.1,3252,0.921,
172,37.291695,-87.10831,88.1,38,0.921,
173,37.59617,-84.838554,88.1,240,0.921,
174,36.80147,-83.37683,88.1,4242,0.921,
175,37.538277,-85.72903,88.1,141,0.921,
176,38.038696,-84.50439,88.1,11172,0.921,
177,38.060917,-83.955475,88.1,424,0.921,
178,36.769722,-83.56883,88.1,4949,0.921,
179,37.07675,-84.810776,88.1,4000,0.921,
180,31.565445,-92.55014,88.1,71695,0.921,
181,30.19186,-92.62153,88.1,250,0.921,
182,30.261583,-91.311226,88.1,127279,0.921,
183,42.361694,-71.085526,88.1,905,0.921,
184,41.285,-70.139725,88.1,494,0.921,
185,41.63761,-70.871414,88.1,424,0.921,
186,42.237583,-71.80811,88.1,100,0.921,
187,39.3315,-76.65747,88.1,21920,0.921,
188,38.98314,-76.943306,88.1,14,0.921,
189,39.492054,-77.499725,88.1,1414,0.921,
190,38.145416,-76.372444,88.1,1555,0.921,
191,44.10786,-69.924225,88.1,50000,0.921,
192,43.356194,-70.48478,88.1,141,0.921,
193,43.41811,-70.80064,88.1,25597,0.921,
194,43.900555,-85.7595,88.1,55,0.921,
195,42.577805,-83.286026,88.1,509,0.921,
196,44.24889,-85.31339,88.1,14,0.921,
197,45.746944,-87.077774,88.1,4242,0.921,
198,45.17,-84.75114,88.1,5000,0.921,
199,43.17553,-83.06734,88.1,6000,0.921,
200,43.175026,-83.06717,88.1,400,0.921,
201,44.703335,-83.52414,88.1,18000,0.921,
202,42.408085,-83.09158,88.1,16,0.921,
203,45.818153,-88.065735,88.1,183,0.921,
204,44.28908,-84.74233,88.1,4454,0.921,
205,42.705666,-84.35758,88.1,33400,0.921,
206,42.70558,-84.357475,88.1,6700,0.921,
207,41.918915,-83.37603,88.1,1697,0.921,
208,41.918945,-83.37605,88.1,7071,0.921,
209,42.349472,-83.49578,88.1,424,0.921,
210,45.779724,-87.14047,88.1,4242,0.921,
211,42.911972,-85.683365,88.1,14142,0.921,
212,43.97817,-93.234886,88.1,45679,0.921,
213,46.828556,-95.82919,88.1,353,0.921,
214,46.828556,-95.82919,88.1,141,0.921,
215,46.29442,-96.10005,88.1,190,0.921,
216,43.642776,-92.526665,88.1,59396,0.921,
217,47.41122,-93.455,88.1,22627,0.921,
218,47.218193,-93.54745,88.1,33941,0.921,
219,47.240555,-93.52653,88.1,353,0.921,
220,47.218277,-93.54745,88.1,353,0.921,
221,43.887054,-92.84914,88.1,35355,0.921,
222,43.757584,-91.290054,88.1,87,0.921,
223,44.16586,-93.8393,88.1,2828,0.921,
