,Lat,Lon
0,52.0246381,5.0458792
1,51.842574850000005,5.838960628748229
2,52.171513149999996,6.343658160434859
3,51.1933903,5.9882649
4,49.62702,6.383273202287997
5,52.3730796,4.8924534
6,51.958534799999995,6.281455126241391
7,52.9054328,6.3968885
8,-8.7443169,126.063482
9,51.5331484,4.4561276
10,51.9244424,4.47775
11,51.2302243,3.823928
12,51.842574850000005,5.838960628748229
13,52.850955,5.0226161
14,51.5031033,3.8897596
15,52.2658726,6.7924049
16,52.0246381,5.0458792
17,51.9890577,6.5716944
18,51.49433865,3.415005767601362
19,52.600853799999996,4.817099446443963
20,52.0056642,5.8762345077641305
21,52.2241375,5.1719396
22,51.6511806,5.23680014410728
23,52.9054328,6.3968885
24,51.842574850000005,5.838960628748229
25,51.3284919,3.6854246
26,52.2209855,6.8940537
27,52.2241375,5.1719396
28,52.1845117,5.934748
29,51.5331484,4.4561276
30,52.600853799999996,4.817099446443963
31,52.2695736,6.236339604766698
32,52.536680950000004,5.361043525412799
33,52.3730796,4.8924534
34,52.0056642,5.8762345077641305
35,51.6511806,5.23680014410728
36,52.0246381,5.0458792
37,51.9244424,4.47775
38,51.4437624,5.6187496
39,51.1933903,5.9882649
40,52.850955,5.0226161
41,51.5887845,4.7760237
42,52.07494555,4.2696802205364515
43,52.75286615,6.952513466208563
44,52.3730796,4.8924534
45,52.7091058,5.7477459
46,53.2005936,5.7918548
47,51.5890603,5.315795445406877
48,52.1845117,5.934748
49,52.1343369,4.6561357
50,51.5031033,3.8897596
51,52.0246381,5.0458792
52,51.8206116,5.5632234
53,51.58561845,5.0660616131367675
54,52.0038435,6.5194467
55,51.5887845,4.7760237
56,51.958534799999995,6.281455126241391
57,52.2241375,5.1719396
58,52.9054328,6.3968885
59,52.600853799999996,4.817099446443963
60,51.5403294,5.7089062
61,52.536680950000004,5.361043525412799
62,52.171513149999996,6.343658160434859
63,51.1933903,5.9882649
64,51.9244424,4.47775
65,52.514565250000004,6.097720359677693
66,52.3730796,4.8924534
67,52.0056642,5.8762345077641305
68,52.5996262,6.4593207
69,51.5331484,4.4561276
70,51.2302243,3.823928
71,51.58561845,5.0660616131367675
72,52.9035357,5.6784354
73,52.0907006,5.1215634
74,52.2658726,6.7924049
75,51.842574850000005,5.838960628748229
76,52.75286615,6.952513466208563
77,52.2347139,6.4949852
78,51.9244424,4.47775
79,52.514565250000004,6.097720359677693
80,52.996240099999994,7.001434882926471
81,52.0068482,6.3500598
82,52.2241375,5.1719396
83,53.2005936,5.7918548
84,52.3143672,6.9905783
85,52.2347139,6.4949852
86,51.8206116,5.5632234
87,52.9054328,6.3968885
88,52.653272,5.0735802
89,51.9244424,4.47775
90,52.7091058,5.7477459
91,51.29884295,3.8422043956030683
92,53.1638192,6.7556852
93,52.0907006,5.1215634
94,51.5331484,4.4561276
95,52.1845117,5.934748
96,52.3730796,4.8924534
97,53.3203563,6.8577654
98,51.58561845,5.0660616131367675
99,52.75286615,6.952513466208563
100,51.5031033,3.8897596
101,51.9244424,4.47775
102,52.9035357,5.6784354
103,50.8738401,5.8456982
104,52.2209855,6.8940537
105,52.653272,5.0735802
106,52.3885317,4.6388048
107,52.0056642,5.8762345077641305
108,52.600853799999996,4.817099446443963
109,52.9054328,6.3968885
110,51.9244424,4.47775
111,51.5887845,4.7760237
112,53.0778724,5.7927534
113,51.5031033,3.8897596
114,53.2190652,6.5680077
115,52.2241375,5.1719396
116,52.2347139,6.4949852
117,51.4437624,5.6187496
118,51.9244424,4.47775
119,52.9054328,6.3968885
120,51.1933903,5.9882649
121,53.2607348,6.5918683
