,Lat,Lon
0,52.0139605,6.1393699
1,52.3301502,4.9363478
2,52.5024789,4.9614827
3,52.0259814,5.5539239
4,52.1343369,4.6561357
5,53.1954807,5.9871063
6,52.558830549999996,4.639675526200153
7,52.2858356,5.654938589920705
8,51.5031033,3.8897596
9,52.42441,6.88168
10,51.8348695,4.6937293
11,51.96802135,6.7378723633667885
12,52.8762872,6.001764
13,52.514565250000004,6.097720359677693
14,52.2209855,6.8940537
15,52.0962664,4.5915103
16,51.424339,4.323838
17,52.653272,5.0735802
18,52.3874327,6.307848238791079
19,51.6961345,4.8745894
20,51.8464881,4.3287681
21,51.8874333,5.4372681
22,52.0068482,6.3500598
23,52.3730796,4.8924534
24,52.7091058,5.7477459
25,53.1638192,6.7556852
26,-8.7443169,126.063482
27,52.600853799999996,4.817099446443963
28,51.9312552,4.5883596
29,52.1032685,6.6511683
30,50.8738401,5.8456982
31,53.1442439,6.2647308
32,52.6285576,1.2923954
33,51.980847600000004,5.5745623668309925
34,52.996240099999994,7.001434882926471
35,53.2607534,5.7642074
36,52.2356369,6.1042772
37,52.4585213,6.5609521
38,52.4876371,4.6603502
39,52.65266925,6.739318988174109
40,53.3325644,6.9135144
41,51.8297356,4.8435197
42,52.7895502,6.1210477
43,51.6511806,5.23680014410728
44,51.8582919,5.815368
45,52.2111503,5.293091
46,52.07494555,4.2696802205364515
47,52.415659149999996,5.841321708557087
48,52.1176966,5.87625
49,52.305554,4.6926644
50,51.4437624,5.6187496
51,51.9438019,6.4636436
52,51.7506951,4.3666202
53,51.4162975,3.7028061
54,53.05532,6.72731
55,52.957976,4.760279
56,52.3746713,7.0055192
57,51.937228,6.1275981
58,51.5056266,5.033774070783131
59,51.6797186,5.509359
60,52.2060181,4.8648168
61,52.510346999999996,6.452424670840507
62,51.8093104,3.9359204
63,52.0200581,4.434186
64,51.88473605,5.600426583452027
65,51.3709644,5.2518766
66,51.2501987,5.9009266
67,50.874908899999994,6.0593852849074565
68,52.4296098,4.9136088
