,x,y
0,-0.0,0.0
1,-0.0,0.0
2,-1.2881881609159713,0.0
3,-0.0,0.0
4,-0.0,0.0
5,-1.603839653995936,0.0
6,-0.8672986961254723,0.0
7,-1.1565885561947733,0.0
8,-1.124139690188571,0.0
9,-1.124139707512941,0.0
10,-0.6851882120654053,0.0
11,-0.6071090906634766,0.0
12,-1.327260012816701,0.0
13,-1.1598684875581413,0.0
14,-1.1791699702756648,0.0
15,-0.8672986941161591,0.0
16,-0.9195364166416629,0.0
17,-0.4125252969065284,0.0
18,-1.1752252604643598,0.0
19,-0.8672987061923342,0.0
20,-0.8911541665578536,0.0
21,-0.5930662953086366,0.0
22,-1.124139705689323,0.0
23,-0.7652635657200191,0.0
24,-0.8672987034320655,0.0
25,-0.9435852379439398,0.0
26,-0.6504740159291662,0.0
27,-0.5030067914590072,0.0
28,-0.6821649692729456,0.0
29,-0.9836222255242101,0.0
30,-1.1241396940637587,0.0
31,-0.4014784781804364,0.0
32,-1.2356538099816927,0.0
33,-1.1241396769022125,0.0
34,-1.0491970644303157,0.0
35,-0.6421559549083777,0.0
36,-0.973566167887466,0.0
37,-1.0674812197605992,0.0
38,-0.0,0.0
39,-1.1241396829548869,0.0
40,-1.1241396788213531,0.0
41,-1.1241396813309987,0.0
42,-1.1241396788213531,0.0
43,-1.1806235410649915,0.0
44,-1.3383534487572744,0.0
45,-0.8647228762119692,0.0
46,-1.1241396879741778,0.0
47,-1.1241396889962054,0.0
48,-1.1241396791166056,0.0
49,-1.1241396791166056,0.0
50,-1.1241396818420124,0.0
51,-1.1241396791166056,0.0
52,-1.1241396842267435,0.0
53,-1.1241396879741778,0.0
54,-0.9272284685870044,0.0
55,-1.2667160052906312,0.0
56,-1.3007407793997454,0.0
57,-0.9635483020798155,0.0
58,-1.1241396791166056,0.0
59,-1.1241396850216536,0.0
60,-1.1241396835453916,0.0
61,-1.1241396857597847,0.0
62,-1.1241396968317503,0.0
63,-1.1241396829548869,0.0
64,-1.1241396791166056,0.0
65,-1.1241396842267435,0.0
66,-1.0044975034936345,0.0
67,-1.004497501909819,0.0
68,-1.1806235138279992,0.0
69,-1.3118976058856795,0.0
70,-1.0219451613692163,0.0
71,-1.1241396876051122,0.0
72,-1.1241396746878196,0.0
73,-1.1241396798547367,0.0
74,-1.1241396721043613,0.0
75,-1.1241396876051122,0.0
76,-1.1241396746878196,0.0
77,-1.1241396770725505,0.0
78,-1.1241396794572815,0.0
79,-1.124139667533627,0.0
80,-1.1241396866114743,0.0
81,-1.00449750507745,0.0
82,-0.9272284638636726,0.0
83,-1.0044974956963886,0.0
84,-1.2216831812694782,0.0
85,-1.2402601715897403,0.0
86,-0.7494264525475687,0.0
87,-1.1241396842267435,0.0
88,-1.1241396746878196,0.0
89,-1.1241396870884206,0.0
90,-1.1241396791166056,0.0
91,-1.1241396813309987,0.0
92,-1.1241396813309987,0.0
93,-1.124139690188571,0.0
94,-1.1241396866114743,0.0
95,-1.1241396813309987,0.0
96,-1.1241396746878196,0.0
97,-0.8647228376893887,0.0
98,-1.18062351871669,0.0
99,-0.9367830730042602,0.0
100,-1.124139677506138,0.0
101,-1.1241396850216536,0.0
102,-1.1241396850216536,0.0
103,-1.1241396798547367,0.0
104,-1.1241396794572815,0.0
105,-1.1241396859610933,0.0
106,-1.1241396794572815,0.0
107,-1.124139682438195,0.0
108,-1.1241396889962054,0.0
109,-1.1241396859610933,0.0
110,-0.0,0.0
111,-0.1632644868588589,0.0
112,-1.180623513129615,0.0
113,-0.9444988134834653,0.0
114,-1.1241396770725505,0.0
115,-1.1241396788213531,0.0
116,-1.1241396723030888,0.0
117,-1.1241396723030888,0.0
118,-1.1241396813309987,0.0
119,-1.1241396818420124,0.0
120,-1.1241396770725505,0.0
121,-1.1241396794572815,0.0
122,-1.1241396813309987,0.0
123,-1.1241396818420124,0.0
124,-0.8854676489894954,0.0
125,-1.1806235168543315,0.0
126,-1.1241396798547367,0.0
127,-1.1241396798547367,0.0
128,-1.1241396794572815,0.0
129,-1.1241396772712782,0.0
130,-1.1241396876051122,0.0
131,-1.1241396798547367,0.0
132,-1.1241396746878196,0.0
133,-1.1241396887794117,0.0
134,-1.1241396831427748,0.0
135,-1.124139677506138,0.0
136,-1.1241397186066167,0.0
137,-0.517207916061862,0.0
138,-0.5859568758060969,0.0
139,-0.9514386812174378,0.0
140,-1.1806235179548161,0.0
141,-0.9511951234761769,0.0
142,-1.1241396850216536,0.0
143,-1.1241396746878196,0.0
144,-1.1241396859610933,0.0
145,-1.1241396803244563,0.0
146,-1.1241396842267435,0.0
147,-1.1241396803244563,0.0
148,-1.1241396803244563,0.0
149,-1.1241396798547367,0.0
150,-1.1241396889962054,0.0
151,-1.1241396842267435,0.0
152,-1.1241396818420124,0.0
153,-1.1241396866114743,0.0
154,-0.9902791831508999,0.0
155,-0.875609864469649,0.0
156,-0.9552107577729946,0.0
157,-0.9602815033225744,0.0
158,-0.8463401427386585,0.0
159,-1.1806235179548161,0.0
160,-1.0625611640794188,0.0
161,-1.1241396803244563,0.0
162,-1.1241396831427748,0.0
163,-1.124139677506138,0.0
164,-1.1241396839882705,0.0
165,-1.1241396831427748,0.0
166,-1.1241396803244563,0.0
167,-1.1241396831427748,0.0
168,-1.1241396915977302,0.0
169,-1.1241396839882705,0.0
170,-1.1241396839882705,0.0
171,-1.1241396777879697,0.0
172,-1.1241396839882705,0.0
173,-1.124139690188571,0.0
174,-1.1241396887794117,0.0
175,-1.0296221613269199,0.0
176,-0.9552107586644119,0.0
177,-0.9552107625272196,0.0
178,-0.955210754801604,0.0
179,-1.0117669729358674,0.0
180,-1.0344157159852363,0.0
181,-1.0344157256299538,0.0
182,-0.6582645554634012,0.0
183,0.12282355958607397,0.0
184,-1.1806235075425398,0.0
185,-0.03862327459045433,0.0
186,-1.0304613826728566,0.0
187,-1.1241396876051122,0.0
188,-1.124139682438195,0.0
189,-1.1241396879741778,0.0
190,-1.1241396944160487,0.0
191,-1.1241396798547367,0.0
192,-1.124139690188571,0.0
193,-1.1241396876051122,0.0
194,-1.1241396876051122,0.0
195,-1.1241396850216536,0.0
196,-1.1241396961503984,0.0
197,-1.1241396927720295,0.0
198,-1.1241396937656676,0.0
199,-1.1241396859610933,0.0
200,-1.124139682438195,0.0
201,-1.1035862900112923,0.0
202,-0.9553657063325915,0.0
203,-0.9552107612396171,0.0
204,-0.955210763715776,0.0
205,-0.9558102456601272,0.0
206,-0.9949685931931017,0.0
207,-1.034415715583373,0.0
208,-1.034415716862029,0.0
209,-1.0344157200656936,0.0
210,-1.0344157256299538,0.0
211,-0.041956360602241005,134.48
212,-1.1806235208894416,0.0
213,-0.03862327534313826,0.0
214,-1.124139690188571,0.0
215,-1.1241396808881199,0.0
216,-1.1241396815770424,0.0
217,-1.124139690188571,0.0
218,-1.124139690188571,0.0
219,-1.1241396850216536,0.0
220,-1.1241396808881199,0.0
221,-1.1241396932887213,0.0
222,-1.1241396932887213,0.0
223,-1.124139690188571,0.0
224,-1.1241396915977302,0.0
225,-1.1241396915977302,0.0
226,-1.1241396884662653,0.0
227,-1.1241396850216536,0.0
228,-1.1241396850216536,0.0
229,-1.0619850011367193,0.0
230,-0.9616242196529032,0.0
231,-0.9603674112568953,0.0
232,-1.099503330463507,0.0
233,-1.1426543460662437,0.0
234,-1.0874143427873486,0.0
235,-1.034415709555425,0.0
236,-1.034415716862029,0.0
237,-1.0344157229508655,0.0
238,-0.5642267594345203,0.0
239,-0.8928866744649064,0.0
240,-1.0044975060853327,0.0
241,-1.0278064903358735,0.0
242,-1.2137537825410236,0.0
243,-1.221683176742522,0.0
244,-0.18875980831580336,0.0
245,-1.180623519880664,0.0
246,-1.1806235138279992,0.0
247,-0.038623274025941415,0.0
248,-0.035404671479404376,0.0
249,-0.05666090954636259,0.0
250,-0.24487696086965088,0.0
251,-1.1241396772712782,0.0
252,-1.1241396876051122,0.0
253,-1.1241396850216536,0.0
254,-1.1241396859610933,0.0
255,-1.1241396876051122,0.0
256,-1.1241396876051122,0.0
257,-1.1241396927720295,0.0
258,-1.1241396876051122,0.0
259,-1.1241396850216536,0.0
260,-1.1241396887794117,0.0
261,-1.1241396876051122,0.0
262,-1.1241396859610933,0.0
263,-1.1241396746878196,0.0
264,-1.124139682438195,0.0
265,-1.1241396876051122,0.0
266,-1.1450819467914062,0.0
267,-1.2096506753994145,0.0
268,-0.9892004444635135,0.0
269,-1.4252975959308831,0.0
270,-1.460826125564725,0.0
